# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
761.7000 e1 529854 1 471.7000 p204 p208 292 N p204->p208
905.7000 e3 914512 1 3.7000 p208 p200 299 N p208->p200
1132.7000 w21 677534 1 545.7000 n128 n139 290 N n128->n139
1294.5000 w27 654157 1 528.5000 n2 n180 291 N n2->n180
1390.2000 w1 725677 1 1365.2000 n198 n194 277 N n198->n194
1935.3000 e6 550924 1 10.3000 p204 p202 299 N p204->p202
1940.0000 w3 946543 1 1861.0000 n5 n22 268 N n5->n22
2088.7000 e2 974133 1 1518.7000 p207 p208 274 N p207->p208
2231.0000 e7 569915 1 16.0000 p207 p205 299 N p207->p205
2270.4000 w41 703374 1 1090.4000 n50 n51 281 N n50->n51
2647.1000 e8 536504 1 136.1000 p203 p202 297 N p203->p202
2710.7000 w54 534379 1 1147.7000 n1 n3 280 N n1->n3
2845.5000 e5 505988 1 1256.5000 p200 p203 279 N p200->p203
2873.3000 w92 631975 1 191.3000 n49 n139 296 N n49->n139
2930.0000 w82 637792 1 544.0000 n198 n61 290 N n198->n61
3436.8000 e11 678151 1 82.8000 p208 p206 298 N p208->p206
3635.7000 w79 849125 1 1334.7000 n66 n64 277 N n66->n64
4038.8000 e4 897097 1 2787.8000 p208 p200 253 N p208->p200
4171.3000 w12 899344 1 3843.3000 n60 n103 235 N n60->n103
4414.6000 e12 655195 1 779.6000 p204 p202 287 N p204->p202
4428.0000 w45 767749 1 3123.0000 n83 n14 247 N n83->n14
5318.7000 w24 501045 1 4642.7000 n94 n93 222 N n94->n93
5415.3000 e10 575628 1 2321.3000 p200 p206 261 N p200->p206
5566.3000 e18 956058 1 284.3000 p205 p202 295 N p205->p202
5575.8000 e17 714880 1 546.8000 p204 p206 290 N p204->p206
6238.6000 w37 981235 1 5183.6000 n66 n156 213 N n66->n156
6375.6000 e14 717843 1 2113.6000 p206 p208 264 N p206->p208
6415.5000 w43 928111 1 5171.5000 n132 n15 213 N n132->n15
6423.0000 w192 526408 1 778.0000 n89 n96 287 N n89->n96
6726.0000 w220 568570 1 248.0000 n15 n37 295 N n15->n37
6785.4000 e19 731101 1 1185.4000 p207 p203 280 N p207->p203
6788.9000 e21 861788 1 563.9000 p207 p203 290 N p207->p203
6790.6000 e9 778139 1 3998.6000 p200 p206 233 N p200->p206
6923.9000 w51 932964 1 5445.9000 n133 n137 209 N n133->n137
6966.4000 e15 796220 1 2449.4000 p206 p204 259 N p206->p204
7567.6000 w85 500805 1 5095.6000 n90 n74 215 N n90->n74
7689.7000 w219 811678 1 1244.7000 n57 n166 279 N n57->n166
7698.2000 w17 887291 1 7228.2000 n48 n179 179 N n48->n179
7851.1000 w265 531918 1 46.1000 n193 n19 299 N n193->n19
7977.8000 w232 695648 1 1137.8000 n127 n44 281 N n127->n44
8189.0000 e26 513467 1 515.0000 p208 p205 291 N p208->p205
8428.2000 e22 590607 1 1920.2000 p202 p207 267 N p202->p207
8553.5000 w142 941856 1 4406.5000 n85 n36 226 N n85->n36
8734.8000 w70 535776 1 6700.8000 n154 n50 188 N n154->n50
8736.9000 e16 923664 1 3966.9000 p203 p200 233 N p203->p200
9146.2000 w195 969546 1 3416.2000 n50 n164 243 N n50->n164
