# messageDelay  cumulativeProbability
2.2000 0.0006
2.2000 0.0012
2.5000 0.0019
2.6000 0.0025
2.8000 0.0031
3.0000 0.0037
3.3000 0.0043
3.6000 0.0050
3.6000 0.0056
3.7000 0.0062
3.9000 0.0068
7.1000 0.0074
10.3000 0.0081
11.8000 0.0087
14.9000 0.0093
16.0000 0.0099
38.0000 0.0106
38.5000 0.0112
46.1000 0.0118
70.0000 0.0124
74.5000 0.0130
82.8000 0.0137
84.4000 0.0143
105.4000 0.0149
106.2000 0.0155
106.8000 0.0161
114.2000 0.0168
121.5000 0.0174
133.9000 0.0180
136.1000 0.0186
138.1000 0.0192
138.1000 0.0199
155.1000 0.0205
177.9000 0.0211
190.9000 0.0217
191.3000 0.0223
223.7000 0.0230
248.0000 0.0236
251.9000 0.0242
274.3000 0.0248
275.1000 0.0255
284.3000 0.0261
287.8000 0.0267
320.4000 0.0273
349.8000 0.0279
356.3000 0.0286
358.2000 0.0292
367.9000 0.0298
370.8000 0.0304
379.4000 0.0310
387.5000 0.0317
393.8000 0.0323
394.0000 0.0329
411.6000 0.0335
412.9000 0.0341
470.0000 0.0348
470.3000 0.0354
471.7000 0.0360
479.3000 0.0366
485.5000 0.0372
492.1000 0.0379
515.0000 0.0385
527.8000 0.0391
528.5000 0.0397
544.0000 0.0403
545.7000 0.0410
546.8000 0.0416
548.4000 0.0422
563.9000 0.0428
573.9000 0.0435
577.2000 0.0441
606.4000 0.0447
627.6000 0.0453
649.3000 0.0459
649.7000 0.0466
651.2000 0.0472
661.1000 0.0478
668.2000 0.0484
672.5000 0.0490
690.8000 0.0497
708.0000 0.0503
717.5000 0.0509
735.6000 0.0515
775.1000 0.0521
778.0000 0.0528
779.6000 0.0534
795.0000 0.0540
841.3000 0.0546
859.0000 0.0552
859.2000 0.0559
864.7000 0.0565
882.0000 0.0571
889.5000 0.0577
891.0000 0.0583
906.3000 0.0590
910.0000 0.0596
912.2000 0.0602
918.0000 0.0608
920.5000 0.0615
1005.9000 0.0621
1010.5000 0.0627
1022.0000 0.0633
1029.9000 0.0639
1039.2000 0.0646
1039.8000 0.0652
1044.1000 0.0658
1083.7000 0.0664
1090.4000 0.0670
1098.0000 0.0677
1099.9000 0.0683
1107.4000 0.0689
1127.7000 0.0695
1137.2000 0.0701
1137.8000 0.0708
1147.7000 0.0714
1183.2000 0.0720
1185.4000 0.0726
1186.3000 0.0732
1231.8000 0.0739
1232.7000 0.0745
1243.1000 0.0751
1244.7000 0.0757
1256.5000 0.0764
1259.2000 0.0770
1270.0000 0.0776
1273.1000 0.0782
1284.5000 0.0788
1285.9000 0.0795
1305.3000 0.0801
1306.4000 0.0807
1313.8000 0.0813
1316.6000 0.0819
1334.7000 0.0826
1338.1000 0.0832
1339.0000 0.0838
1340.3000 0.0844
1365.2000 0.0850
1370.3000 0.0857
1450.1000 0.0863
1508.3000 0.0869
1513.2000 0.0875
1518.7000 0.0881
1519.7000 0.0888
1585.9000 0.0894
1590.2000 0.0900
1612.4000 0.0906
1640.9000 0.0912
1643.6000 0.0919
1654.8000 0.0925
1698.5000 0.0931
1719.7000 0.0937
1739.7000 0.0944
1743.5000 0.0950
1754.8000 0.0956
1757.4000 0.0962
1763.2000 0.0968
1777.0000 0.0975
1832.4000 0.0981
1841.4000 0.0987
1861.0000 0.0993
1886.1000 0.0999
1919.5000 0.1006
1920.2000 0.1012
1921.0000 0.1018
1925.7000 0.1024
1949.8000 0.1030
1961.2000 0.1037
1984.9000 0.1043
2095.1000 0.1049
2113.6000 0.1055
2146.1000 0.1061
2170.0000 0.1068
2211.6000 0.1074
2318.1000 0.1080
2321.3000 0.1086
2357.3000 0.1092
2387.2000 0.1099
2392.2000 0.1105
2434.2000 0.1111
2449.4000 0.1117
2463.5000 0.1124
2481.6000 0.1130
2495.8000 0.1136
2511.9000 0.1142
2514.1000 0.1148
2528.8000 0.1155
2593.4000 0.1161
2605.6000 0.1167
2610.7000 0.1173
2641.3000 0.1179
2645.2000 0.1186
2653.8000 0.1192
2755.4000 0.1198
2759.9000 0.1204
2771.4000 0.1210
2787.8000 0.1217
2791.4000 0.1223
2797.1000 0.1229
2811.2000 0.1235
2877.5000 0.1241
2909.3000 0.1248
2909.6000 0.1254
2928.7000 0.1260
3014.5000 0.1266
3090.4000 0.1273
3091.7000 0.1279
3108.1000 0.1285
